dataset,model_count,seed,split_seed,policy,point,quality,mean_cost,total_cost,normalized_cost,auc,sample_count
gsm8k,3,0,42,Routing,0,0.5192851087877932,0.00026462633512288865,1.8730251999998058,0.030978433974397045,0.6471970011005125,7078
gsm8k,3,0,42,Routing,1,0.5438683243854197,0.0002932020062164195,2.0752837999998173,0.034323639733430604,0.6471970011005125,7078
gsm8k,3,0,42,Routing,2,0.5633300367335405,0.000320906640293844,2.271377199999828,0.03756687770199397,0.6471970011005125,7078
gsm8k,3,0,42,Routing,3,0.5800720542526138,0.00035207055665439983,2.491955399999842,0.04121507592425627,0.6471970011005125,7078
gsm8k,3,0,42,Routing,4,0.5947654704718847,0.000387116049731542,2.740007399999854,0.0453176702215558,0.6471970011005125,7078
gsm8k,3,0,42,Routing,5,0.6028185928228313,0.0004139898558914752,2.9302201999998614,0.04846364747049298,0.6471970011005125,7078
gsm8k,3,0,42,Routing,6,0.6104478666289912,0.00045406222096635733,3.2138523999998774,0.05315471162740576,0.6471970011005125,7078
gsm8k,3,0,42,Routing,7,0.6126377507770556,0.0005101760101723485,3.611025799999883,0.05972366219373462,0.6471970011005125,7078
gsm8k,3,0,42,Routing,8,0.6127083922011868,0.0005126360271262903,3.6284377999998827,0.06001164363272554,0.6471970011005125,7078
gsm8k,3,0,42,Routing,9,0.6127790336253179,0.0005180396439672058,3.6666845999998827,0.06064421705914399,0.6471970011005125,7078
gsm8k,3,0,42,Routing,10,0.6127790336253179,0.0005180396439672058,3.6666845999998827,0.06064421705914399,0.6471970011005125,7078
gsm8k,3,0,42,Routing,11,0.6275784119807856,0.0015000842328341181,10.617596199999888,0.17560708892146223,0.6471970011005125,7078
gsm8k,3,0,42,Routing,12,0.6346778751059622,0.0021497926532918752,15.216232399999893,0.2516650874438457,0.6471970011005125,7078
gsm8k,3,0,42,Routing,13,0.6438612602430065,0.003045102345295267,21.553234399999898,0.3564743543200429,0.6471970011005125,7078
gsm8k,3,0,42,Routing,14,0.652232269002543,0.004087009070358845,28.927850199999902,0.47844497631000277,0.6471970011005125,7078
gsm8k,3,0,42,Routing,15,0.6584840350381463,0.005127759734388232,36.294283399999905,0.600280264224458,0.6471970011005125,7078
gsm8k,3,0,42,Routing,16,0.6607092398982763,0.00581789491381745,41.17906019999991,0.6810708139610459,0.6471970011005125,7078
gsm8k,3,0,42,Routing,17,0.662722520486013,0.00643262090986153,45.53009079999991,0.7530336013077911,0.6471970011005125,7078
gsm8k,3,0,42,Routing,18,0.662722520486013,0.00643262090986153,45.53009079999991,0.7530336013077911,0.6471970011005125,7078
gsm8k,3,0,42,Routing,19,0.662722520486013,0.00643262090986153,45.53009079999991,0.7530336013077911,0.6471970011005125,7078
gsm8k,3,0,42,Cascade,0,0.5192851087877932,0.0002646139870019505,1.8729377999998058,0.030976988443856737,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,1,0.5319652444193275,0.0002888269002542811,2.0443167999998018,0.03381146874668375,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,2,0.5455990392766318,0.00032027321277194084,2.266893799999797,0.037492725623911,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,3,0.5586323820288217,0.0003433828482621916,2.4304637999997922,0.04019805091541935,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,4,0.5690873128002261,0.000369745945182225,2.6170617999997887,0.04328424207972137,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,5,0.5809197513421871,0.00040186645945179184,2.8444107999997827,0.04704442426287926,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,6,0.5922576999152303,0.00043509788075724444,3.0796227999997763,0.05093465457691157,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,7,0.6020415371573891,0.00046709237072616136,3.30607979999977,0.0546800837481478,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,8,0.6094942074032212,0.0004985600169539087,3.5288077999997656,0.05836383805228107,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,9,0.615392766318169,0.0005317627578411641,3.7638167999997596,0.06225071089835364,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,10,0.615392766318169,0.0005317627578411641,3.7638167999997596,0.06225071089835364,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,11,0.6354902514834699,0.001047272082509147,7.412591799999743,0.12259871658719422,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,12,0.6567533201469342,0.002166254422153111,15.332748799999719,0.2535921814329332,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,13,0.6664665159649619,0.0030794765187905798,21.796534799999723,0.3604983607121297,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,14,0.6734953376660073,0.004103639983046017,29.04556379999971,0.48039187109042697,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,15,0.6730008476970896,0.0042923606668549994,30.381328799999686,0.5024844237468536,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,16,0.6747668833003674,0.005926589121220637,41.94839779999967,0.6937950816567586,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,17,0.6742017519073185,0.006173064255439344,43.69294879999968,0.7226486485860633,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,18,0.6737425826504663,0.0063580095789770655,45.00199179999967,0.7442992393763797,0.6619745892716209,7078
gsm8k,3,0,42,Cascade,19,0.6733540548177451,0.006585268409155081,46.61052979999967,0.7709032531548989,0.6619745892716209,7078
gsm8k,3,0,42,Cascade Routing,0,0.5192851087877932,0.00026462633512288865,1.8730251999998058,0.030978433974397045,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,1,0.5434444758406329,0.0002931978525006804,2.0752543999998156,0.034323153479450204,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,2,0.562976829612885,0.0003205326363379243,2.2687299999998283,0.037523094996658755,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,3,0.5750918338513704,0.00034296592257697476,2.4275127999998274,0.04014924358562082,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,4,0.5943769426391636,0.00038631271545632297,2.734321399999854,0.04522362804018074,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,5,0.6026419892625036,0.00041308372421586053,2.923806599999861,0.048357571330066136,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,6,0.6105185080531224,0.00045336117547328016,3.208890399999877,0.05307264386377877,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,7,0.6180418197230856,0.0004628087030234309,3.275759999999844,0.054178616964671134,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,8,0.6234458886691155,0.0004933317886408374,3.491802399999847,0.057751796452096646,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,9,0.6270132805877366,0.0005311072619383795,3.75917719999985,0.062173975389261275,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,10,0.6269426391636055,0.0005311530375812164,3.7595011999998493,0.06217933410659604,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,11,0.6444617123481209,0.0012743859282282905,9.02010359999984,0.1491857577863048,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,12,0.6569652444193275,0.0022592727889234024,15.991132799999843,0.26448135968520947,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,13,0.6654422153150608,0.0031750979655269635,22.473343399999848,0.3716922680489932,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,14,0.6711288499576151,0.004043798869737192,28.622008399999846,0.4733865820033413,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,15,0.6753320146934162,0.0049366637185645455,34.94170579999985,0.5779096437561085,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,16,0.677415936705284,0.005979966657247791,42.32620399999986,0.7000437132404794,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,17,0.678051709522464,0.006747544899689158,47.75912279999986,0.789900121116934,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,18,0.6792526137326929,0.006832739276631778,48.36212859999973,0.7998733854176365,0.6647406091332898,7078
gsm8k,3,0,42,Cascade Routing,19,0.6791113308844307,0.007112114467363632,50.33954619999979,0.8325783915016012,0.6647406091332898,7078
gsm8k,3,0,42,Best Single / Static,0,0.6590844871432608,0.008542276066685494,60.46222999999993,1.0,,7078
gsm8k,3,0,42,Oracle,0,0.7158448714326081,,,,,7078
gsm8k,5,0,42,Routing,0,0.507064142413111,0.00015856411415651482,1.1223167999998118,0.018562279294028906,0.6596117852637401,7078
gsm8k,5,0,42,Routing,1,0.5459875671093529,0.0001995210794009342,1.4122101999998122,0.0233568990095108,0.6596117852637401,7078
gsm8k,5,0,42,Routing,2,0.5633300367335405,0.00023094461712345565,1.6346259999998192,0.027035489759471676,0.6596117852637401,7078
gsm8k,5,0,42,Routing,3,0.5796128849957615,0.00027234076010169934,1.927627899999828,0.03188152173679056,0.6596117852637401,7078
gsm8k,5,0,42,Routing,4,0.5933879627013281,0.0003138787793161682,2.2216339999998387,0.03674416242999706,0.6596117852637401,7078
gsm8k,5,0,42,Routing,5,0.6049731562588302,0.000364051158519335,2.576754099999853,0.04261758291084957,0.6596117852637401,7078
gsm8k,5,0,42,Routing,6,0.6096001695394179,0.00040361289912402667,2.8567720999998607,0.04724887090667784,0.6596117852637401,7078
gsm8k,5,0,42,Routing,7,0.6112249222944335,0.0004375453800508429,3.096946199999866,0.05122117063826243,0.6596117852637401,7078
gsm8k,5,0,42,Routing,8,0.6141918621079401,0.0005165570641423946,3.656190899999869,0.060470659120576156,0.6596117852637401,7078
gsm8k,5,0,42,Routing,9,0.6149335970613168,0.0005418141706696622,3.834960699999869,0.06342737771993977,0.6596117852637401,7078
gsm8k,5,0,42,Routing,10,0.6149335970613168,0.0005418141706696622,3.834960699999869,0.06342737771993977,0.6596117852637401,7078
gsm8k,5,0,42,Routing,11,0.6267660356032778,0.0011031145803899228,7.807844999999874,0.1291359084836911,0.6596117852637401,7078
