task_id,node_type,candidate,selected,eligible,Q,C_tokens,L_seconds,score,actual_shadow_tokens,actual_shadow_latency_s,actual_shadow_node_accuracy,actual_status,score_margin_to_selected
238499a98441470b93f6c514b82d8f0f,extraction,medium,False,True,0.6873786407766991,3941.4330097087377,41.81010838014013,0.2812564483905615,4090,10.301654182374477,True,delivered,0.0038042021708468154
238499a98441470b93f6c514b82d8f0f,extraction,large,True,True,0.7165048543689321,3942.114563106796,46.867695130436765,0.28506065056140834,3930,10.66504155099392,False,delivered,0.0
238499a98441470b93f6c514b82d8f0f,extraction,coder,False,True,0.6815533980582524,3978.166990291262,43.64960409919399,0.2643970280477193,3818,4.823567861691117,False,delivered,0.02066362251368903
238499a98441470b93f6c514b82d8f0f,extraction,reasoning,False,False,0.7203883495145631,6064.877669902913,150.5238707915807,-0.33547488793848607,4066,11.7401572316885,False,delivered,0.6205355384998944
238499a98441470b93f6c514b82d8f0f,extraction,small,False,False,,,,,,,,not_sampled_or_unavailable,
238499a98441470b93f6c514b82d8f0f,semantic,medium,False,True,0.6873786407766991,614.4330097087379,6.517809808000877,0.6240679412512579,413,0.5611469428986311,False,delivered,0.025115781607769172
238499a98441470b93f6c514b82d8f0f,semantic,large,True,True,0.7165048543689321,615.1145631067961,7.313080670913044,0.649183722859027,421,0.889816902577877,False,delivered,0.0
238499a98441470b93f6c514b82d8f0f,semantic,coder,False,True,0.6815533980582524,651.1669902912622,7.144793418185868,0.61327108145276,423,0.7523726839572191,False,delivered,0.03591264140626704
238499a98441470b93f6c514b82d8f0f,semantic,reasoning,False,False,0.7203883495145631,2737.8776699029127,67.95123777561983,0.2437382771413183,5349,91.4938985556364,False,delivered,0.40544544571770874
238499a98441470b93f6c514b82d8f0f,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
71c52a7bfd964525bc87137f0ac6df84,extraction,medium,True,True,0.6873786407766991,4732.433009708738,50.20091336077197,0.1997524234874023,5013,7.115084026008844,True,delivered,0.0
71c52a7bfd964525bc87137f0ac6df84,extraction,large,False,True,0.7165048543689321,4733.114563106796,56.2718730797855,0.19848976081466474,4901,7.8866189401596785,True,delivered,0.0012626626727375578
71c52a7bfd964525bc87137f0ac6df84,extraction,coder,False,True,0.6815533980582524,4769.166990291262,52.328685929274364,0.18145161889731748,4932,5.80311538092792,False,delivered,0.018300804590084818
71c52a7bfd964525bc87137f0ac6df84,extraction,reasoning,False,False,0.7203883495145631,6855.877669902913,170.1556570000643,-0.47318381898090406,5648,24.34787275828421,True,delivered,0.6729362424683063
71c52a7bfd964525bc87137f0ac6df84,extraction,small,False,False,,,,,,,,not_sampled_or_unavailable,
71c52a7bfd964525bc87137f0ac6df84,semantic,medium,False,True,0.6873786407766991,607.4330097087379,6.443554896667852,0.6247892158079229,405,0.5927178952842951,False,delivered,0.025160621119659443
71c52a7bfd964525bc87137f0ac6df84,semantic,large,True,True,0.7165048543689321,608.1145631067961,7.229857857201992,0.6499498369275823,404,0.7272975482046604,False,delivered,0.0
71c52a7bfd964525bc87137f0ac6df84,semantic,coder,False,True,0.6815533980582524,644.1669902912622,7.067987384291352,0.6140051116222326,410,0.7006205730140209,False,delivered,0.035944725305349756
71c52a7bfd964525bc87137f0ac6df84,semantic,reasoning,False,False,0.7203883495145631,2730.8776699029127,67.77750515430581,0.24495694024788833,882,10.04306017421186,False,delivered,0.404992896679694
71c52a7bfd964525bc87137f0ac6df84,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
f6e2f94f5f2841a993eaed5577bdece2,extraction,medium,True,True,0.6873786407766991,5049.433009708738,53.5636000597104,0.1670889899927101,5012,12.583124920725822,False,delivered,0.0
f6e2f94f5f2841a993eaed5577bdece2,extraction,large,False,True,0.7165048543689321,5050.114563106796,60.04067764355737,0.16379573799580538,4802,13.482886726036668,True,delivered,0.0032932519969047225
